Column1,road_id,road_name,location,road_query,morning_truck,morning_car,morning_scooter,afternoon_truck,afternoon_car,afternoon_scooter,X,Y
153,NI025,中山北路~德行東路,"['德行東路', '中山北路', '德行東路', '中山北路']",德行東路 中山北路,39.34,1931.99,1962.67,46.36,1819.46,1563.18,121.5251413,25.1066838
154,NI026,中山北路~福國路,"['-', '中山北路五段', '福國路', '中山北路六段']",中山北路五段 福國路,100.11,3001.65,2245.24,106.86,3140.08,2477.06,121.5255085,25.1024219
155,NI027,石牌路~天母西路130巷,"['石牌路', '天母西路130巷', '石牌路', None]",石牌路 天母西路130巷,56.77,651.46,730.77,33.8,340.87,381.33,121.5224172,25.1188388
156,NI028,石牌路-天母西路,"['石牌路二段', '天母西路', '石牌路二段', '停車場出入口']",石牌路二段 天母西路,144.37,1288.66,1106.97,95.02,942.41,917.57,121.5219221,25.119222
157,NI029,石牌路~西安街,"['石牌路一段', '西安街一段', '石牌路二段', '西安街二段']",石牌路一段 西安街一段,77.15,1470.88,1606.97,26.4,736.47,984.13,121.5148063,25.1151305
158,NI030,石牌路-東華街,"['石牌路二段', '東華路二段', '石牌路一段', '東華路二段']",石牌路二段 東華路二段,143.42,1469.49,1443.09,54.49,871.35,1238.16,121.515576,25.116033
159,NI031,市民大道~東新街? ? ?,"['市民大道', '東新街', '市民大道', '東新街']",市民大道 東新街,28.3,1128.03,2770.67,16.87,1036.83,2186.3,121.582756,25.050819
160,NI032,市民大道~向陽路,"['市民大道', '向陽路', '市民大道', '向陽路']",市民大道 向陽路,137.79,1406.25,2145.96,112.14,1089.95,1287.91,121.5953919,25.0532077
161,NI033,內湖交流道,"['內湖交流道/安康路', '成功路', None, '成功路']",內湖交流道/安康路 成功路,185.4,2616.68,1832.92,98.88,1814.17,1382.95,121.60002,25.06293
162,NI034,忠孝東路~向陽路,"['忠孝東路七段', '忠孝東路七段124巷', '昆陽街157巷', '忠孝東路六段']",忠孝東路七段 忠孝東路七段124巷,142.29,1657.85,2015.86,122.66,1301.5,1089.84,121.5955487,25.0507431
163,NI035,忠孝東路~東新街? ? ?,"['忠孝東路', '東新街', '忠孝東路', '東新街']",忠孝東路 東新街,95.27,1596.87,2462.86,28.36,1093.91,2593.73,121.5851508,25.0480872
