Column1,road_id,road_name,location,road_query,morning_truck,morning_car,morning_scooter,afternoon_truck,afternoon_car,afternoon_scooter,X,Y
0,EI001,承德路-民權西路,"['民權西路', '承德路三段', '民權西路', '承德路三段']",民權西路 承德路三段,169.83,1967.27,7790.9,122.52,1641.74,4493.74,121.5182325,25.0629867
1,EI002,民權東路~中山北路,"['民權東路一段', '中山北路二段', '民權西路', '中山北路二段']",民權東路一段 中山北路二段,134.47,2164.17,7206.36,110.68,2133.51,4278.81,121.5227006,25.0628986
2,EI003,民權東路~新生北路,"['民權東路', '新生北路', '民權東路', '新生北路']",民權東路 新生北路,124.07,2260.23,5558.7,66.33,1507.44,2420.23,121.5279805,25.0624438
3,EI004,民權東路~建國北路,"['民權東路三段', '建國北路二段', '民權東路二段', '建國北路三段']",民權東路三段 建國北路二段,179.45,4049.16,5107.39,113.24,3402.8,3105.96,121.5372535,25.0623015
4,EI005,民權東路~復興北路,"['民權東路三段', '復興北路', '民權東路三段', '復興北路']",民權東路三段 復興北路,159.32,2680.15,5332.53,117.03,2282.08,3333.89,121.5441389,25.0623145
5,EI006,民權東路~敦化北路,"['民權東路四段', '敦化北路', '民權東路三段', '松山機場']",民權東路四段 敦化北路,297.96,2695.79,4977.25,213.44,1850.5,2844.06,121.5507684,25.0614612
6,EI007,民權東路~光復北路,"['民權東路', '光復北路', '民權東路', '光復北路']",民權東路 光復北路,56.96,2083.96,4242.08,26.23,1077.2,2024.57,121.5656672,25.0633822
7,EI008,民權東路~成功路,"['民權東路六段', '成功路二段', '民權東路六段', '成功路二段']",民權東路六段 成功路二段,175.14,4985.13,2966.73,161.41,3242.87,2771.72,121.5907963,25.0690296
8,EI009,民生西路~環河北路,"['民生西路', '環河北路一段', '大稻埕碼頭', '環河北路一段']",民生西路 環河北路一段,7.01,3513.09,2922.9,59.33,3116.13,1281.54,121.5083011,25.0568767
9,EI010,中山北路~民生東西路,"['民生東路一段', '中山北路二段', '民生西路', '中山北路二段']",民生東路一段 中山北路二段,70.49,2206.29,4105.22,78.07,2312.44,3362.49,121.5229786,25.0579546
10,EI011,民生東路~新生北路,"['民生東路', '新生北路', '民生東路', '新生北路']",民生東路 新生北路,45.29,2088.27,2790.44,13.38,1968.66,1914.96,121.5280228,25.0582028
11,EI012,民生東路~松江路,"['民生東路二段', '松江路', '民生東路二段', '松江路']",民生東路二段 松江路,167.4,2455.25,3189.35,121.59,1651.32,2106.09,121.5332247,25.0578722
12,EI013,建國北路~民生東路,"['民生東路三段', '建國北路二段', '民生東路二段', '建國北路二段']",民生東路三段 建國北路二段,92.8,3396.24,3894.96,82.64,2499.95,2707.41,121.5371571,25.057812
13,EI014,民生東路~復興北路,"['民生東路三段', '復興北路', '民生東路三段', '復興北路']",民生東路三段 復興北路,125.19,3323.22,3744.59,91.25,2499.49,3124.26,121.5440874,25.0576954
14,EI015,民生東路~敦化北路,"['民生東路三段', '敦化北路', '民生東路四段', '敦化北路']",民生東路三段 敦化北路,233.03,2813.63,3480.34,188.1,2364.89,2559.01,121.5490242,25.0576296
15,EI016,民生東路~光復北路,"['民生東路', '光復北路', '民生東路', '光復北路']",民生東路 光復北路,106.17,1739.14,1613.69,63.14,1144.88,1405.98,121.5542406,25.0563169
16,EI017,南京西路~重慶北路~寧夏路,"['南京西路', '重慶北路一段', '南京西路', '重慶北路二段']",南京西路 重慶北路一段,164.25,971.14,2262.61,138.38,784.52,1398.1,121.5144361,25.0540211
17,EI018,南京西路~承德路,"['南京西路', '承德路一段', '南京西路', '承德路二段']",南京西路 承德路一段,133.62,1122.31,3203.07,112.6,941.67,2007.73,121.5177697,25.0531919
18,EI019,南京西路~中山北路,"['南京東路一段', '中山北路一段', '南京西路', '中山北路二段']",南京東路一段 中山北路一段,203.78,1864.76,4548.46,130.83,1780.5,2981.67,121.5225025,25.0521538
19,EI020,南京東路~新生北路,"['南京東路', '新生北路', '南京東路', '新生北路']",南京東路 新生北路,142.06,1687.71,3855.23,78.78,1360.02,1789.2,121.5277235,25.0511352
20,EI021,南京東路~松江路,"['南京東路二段', '松江路', '南京東路二段', '松江路']",南京東路二段 松江路,198.9,2165.22,4196.88,196.28,2002.03,2684.69,121.5330755,25.0519327
21,EI022,南京東路~建國北路,"['南京東路三段', '建國北路一段', '南京東路二段', '建國北路二段']",南京東路三段 建國北路一段,147.79,3639.16,4529.05,132.05,2901.22,2879.73,121.5370216,25.0519296
22,EI023,復興北路 ~南京東路,"['南京東路三段', '復興北路', '南京東路三段', '復興北路']",南京東路三段 復興北路,140.49,3106.7,5835.81,131.31,2488.62,3851.07,121.5439657,25.0519146
23,EI024,南京東路~敦化北路,"['南京東路四段', '敦化北路', '南京東路三段', '敦化北路']",南京東路四段 敦化北路,272.18,3165.5,5055.32,204.3,2604.68,3393.02,121.5489606,25.051827
24,EI025,南京東路~光復北路,"['南京東路五段', '光復北路', '南京東路四段', '光復北路']",南京東路五段 光復北路,194.99,2467.05,3602.96,137.28,1734.23,2507.49,121.5578646,25.0516266
25,EI026,南京東路~基隆路~塔悠路,"['塔悠路', '基隆路一段', '南京東路五段', '塔悠路']",塔悠路 基隆路一段,133.28,2318.47,2822.25,60.76,1192.1,1980.14,121.5704203,25.0508789
26,EI027,忠孝西路~中華路~塔城街,"['忠孝西路一段', '中華路一段', '忠孝西路二段', '塔城街']",忠孝西路一段 中華路一段,316.94,3541.61,4319.45,171.78,2117.74,2492.48,121.5099307,25.0480898
27,EI028,忠孝西路~重慶北路,"['忠孝西路一段', '重慶南路一段', '忠孝西路一段', '重慶北路一段']",忠孝西路一段 重慶南路一段,458.01,3567.78,1829.21,238.01,1840.64,1412.35,121.5132814,25.0471727
28,EI029,忠孝東路-中山北路,"['忠孝東路一段', '中山南路', '忠孝西路一段', '中山北路一段']",忠孝東路一段 中山南路,450.48,3460.55,3291.97,327.48,2906.62,2994.9,121.5195653,25.0455858
29,EI030,忠孝東路~八德路,"['忠孝東路二段', '-', '忠孝東路二段', '八德路一段']",忠孝東路二段 八德路一段,139.87,2706.69,2006.44,86.12,1733.52,1222.36,121.5291044,25.0434298
30,EI031,忠孝東路~新生南路,"['忠孝東路三段', '新生南路一段', '忠孝東路二段', '新生南路一段']",忠孝東路三段 新生南路一段,220.63,3367.07,4257.3,120.7,2234.88,3014.42,121.5329673,25.042279
31,EI032,忠孝東路~建國南路,"['忠孝東路三段', '建國南路一段', '忠孝東路三段', '建國南路一段']",忠孝東路三段 建國南路一段,209.25,4670.6,4676.15,150.99,3053.85,3302.16,121.5367388,25.0418417
32,EI033,忠孝東路~復興南路,"['忠孝東路四段', '復興南路一段', '忠孝東路三段', '復興南路一段']",忠孝東路四段 復興南路一段,203.1,4415.39,5295.51,126.12,3143.22,3690.66,121.543701,25.0416816
33,EI034,忠孝東路~敦化南路,"['忠孝東路四段', '敦化南路一段', '忠孝東路四段', '敦化南路一段']",忠孝東路四段 敦化南路一段,211.84,4762.26,4359.9,162.47,3405.26,2910.27,121.5488857,25.0414264
34,EI035,忠孝東路~光復南路,"['忠孝東路四段', '光復南路', '忠孝東路四段', '光復南路']",忠孝東路四段 光復南路,132.51,3107.67,4109.82,94.72,2302.23,2699.05,121.5576193,25.0414125
35,EI036,忠孝東路~基隆路,"['忠孝東路五段', '基隆路一段', '忠孝東路四段', '基隆路一段']",忠孝東路五段 基隆路一段,263.75,3685.12,4930.13,171.42,2903.7,3858.88,121.5646231,25.041092
36,EI037,仁愛路~金山南路,"['仁愛路二段', '金山南路一段', '仁愛路二段', '金山南路一段']",仁愛路二段 金山南路一段,97.55,3237.83,1766.62,64.51,1483.82,942.67,121.5284308,25.0383492
37,EI038,仁愛路~新生南路,"['仁愛路三段', '新生南路一段', '仁愛路二段', '新生南路一段']",仁愛路三段 新生南路一段,169.44,2873.46,3366.1,107.42,1346.51,2153.07,121.5329502,25.038331
38,EI039,仁愛路~建國南路,"['仁愛路三段', '建國南路一段', '仁愛路三段', '建國南路一段']",仁愛路三段 建國南路一段,143.55,3443.04,2452.41,61.95,1162.29,1959.76,121.5388935,25.0384197
39,EI040,仁愛路~復興南路,"['仁愛路四段', '復興南路一段', '仁愛路三段', '復興南路一段']",仁愛路四段 復興南路一段,137.26,2537.28,3237.46,101.96,1251.04,2329,121.5437856,25.0377851
40,EI041,仁愛路~光復南路,"['仁愛路四段', '光復南路', '仁愛路四段', '光復南路']",仁愛路四段 光復南路,115.95,2257.12,2273.93,73.48,1537.42,1854.1,121.5575207,25.0375086
41,EI042,信義路~金山南路,"['信義路二段', '金山南路二段', '信義路二段', '金山南路一段']",信義路二段 金山南路二段,127.83,1959.99,1735.18,62.85,1963.68,1668.47,121.5273201,25.0339692
42,EI043,信義路~新生南路,"['信義路', '新生南路', '信義路', '新生南路']",信義路 新生南路,245.17,2901.9,4902.93,142.18,2714.85,3470.97,121.532852,25.033243
43,EI044,信義路~建國南路,"['信義路三段', '建國南路二段', '信義路三段', '建國南路一段']",信義路三段 建國南路二段,139.22,3220.78,4499,64.31,2754.76,3611.93,121.537587,25.0334441
44,EI045,信義路~復興南路,"['信義路四段', '復興南路二段', '信義路三段', '復興南路二段']",信義路四段 復興南路二段,209.63,2649.87,4360.5,102.98,2626.02,3408,121.5436876,25.0332999
45,EI046,信義路~敦化南路,"['信義路四段', '敦化南路二段', '信義路四段', '敦化南路一段']",信義路四段 敦化南路二段,267.38,3851.2,4626.42,134.17,3774.88,3380.95,121.5490535,25.0331812
46,EI047,信義路~光復南路,"['信義路四段', '光復南路', '信義路四段', '光復南路']",信義路四段 光復南路,210.03,2048.79,2430.18,82.02,1937.58,2486.4,121.5575355,25.0331518
47,EI048,信義路~基隆路,"['信義路五段', '基隆路二段', '信義路四段', '基隆路一段']",信義路五段 基隆路二段,201.8,3759.92,4791.28,115.91,2864.58,4334.51,121.5596372,25.0329619
48,EI049,和平西路~中華路,"['和平西路二段', '中華路二段', '和平西路二段', '中華路二段']",和平西路二段 中華路二段,121.75,1275.15,2117.1,106.14,661.53,1140.33,121.5052997,25.0335159
49,EI050,和平西路~重慶南路,"['和平西路一段', '重慶南路三段', '福州街', '和平西路二段']",和平西路一段 重慶南路三段,97.53,2326.42,5980.05,71.69,1585.2,3768.11,121.516015,25.0273422
50,EI051,和平東路~羅斯福路,"['和平東路一段', '羅斯福路二段', '和平西路一段', '羅斯福路二段']",和平東路一段 羅斯福路二段,145.23,2831.73,4634.04,116.53,1949.32,3152.15,121.5224723,25.0271334
51,EI052,民權東路~成功路~金湖路~康寧路,"['康寧路', '民權東路', '金湖路', '成功路']",康寧路 民權東路,138.52,2333.11,1909.37,79.31,1486.33,1444.36,121.60973,25.06902
52,EI053,和平東路~新生南路,"['和平東路二段', '新生南路三段', '和平東路一段', '新生南路二段']",和平東路二段 新生南路三段,120.59,1907.53,3537.88,100.46,1538.34,2244.2,121.5348119,25.0260913
53,EI054,和平東路~建國南路,"['和平東路二段', '建國南路二段', '和平東路二段', '建國南路二段']",和平東路二段 建國南路二段,82.21,1920.11,3432.68,72.6,1594.35,2139.05,121.5374422,25.0255499
54,EI055,和平東路-復興南路,"['和平東路二段', '復興南路二段', '和平東路二段', '復興南路二段']",和平東路二段 復興南路二段,87.42,1724.31,3272.27,86.11,1537.67,2690.22,121.5434961,25.0249154
55,EI056,和平東路~敦化南路,"['和平東路', '敦化南路', '和平東路', '敦化南路']",和平東路 敦化南路,124.18,1973.24,3092.58,101.33,2082,2184.67,121.549145,25.025106
56,EI057,和平東路~基隆路,"['崇德街', '和平東路三段', '基隆路二段', '和平東路三段']",崇德街 和平東路三段,160.88,3586.14,5623.98,191.43,3408.24,5553.33,121.554993,25.024398
57,EI058,和平東路~木柵路,"['木柵路四段', '-', '木柵路四段', '和平東路四段']",木柵路四段 和平東路四段,126.28,1993.2,1324.52,46.32,949.92,675.76,121.5746026,24.9982023
58,EI059,重慶北路~中正路,"['中正路', '重慶北路', '中正路', None]",中正路 重慶北路,195.58,5924.06,6738.36,77.93,3070.54,2653.53,121.5135533,25.0753507
59,EI060,民族西路~重慶北路,"['民族西路', '重慶北路三段', '民族西路', '重慶北路三段']",民族西路 重慶北路三段,173.86,2331.6,2692.54,153.37,2013.83,1863.8,121.5136345,25.0686427
60,EI061,重慶北路~長安西路,"['長安西路', '重慶北路一段', '長安西路', '重慶北路一段']",長安西路 重慶北路一段,118.36,729.52,2375.12,74.93,571.41,1265.66,121.5138892,25.0516176
61,EI062,市民大道(鄭州路)~重慶北路,"['市民大道(鄭州路)', '重慶北路一段', '市民大道(鄭州路)', '重慶北路一段']",市民大道(鄭州路) 重慶北路一段,118.33,1680.94,4967.73,94.74,1023.6,2039.66,121.5133033,25.049314
62,EI063,重慶南路~汀州路,"['汀洲路二段', '重慶南路三段', '汀洲路二段', '重慶南路三段']",汀洲路二段 重慶南路三段,79.49,2215.29,5243.22,75.12,1688.11,4117.77,121.5158163,25.025915
63,EI064,中正路~承德路,"['中正路', '承德路四段', '中正路', '承德路五段']",中正路 承德路四段,193.59,7469.4,8863.01,151,5200.3,5487.7,121.5164558,25.0911201
64,EI065,承德路~民族西路,"['民族西路', '承德路三段', '民族西路', '承德路三段']",民族西路 承德路三段,138.26,2576.59,5247.15,111.99,1660.24,3124.77,121.5184725,25.0685374
65,EI066,承德路~長安西路,"['長安西路', '承德路', '長安西路', '承德路']",長安西路 承德路,78.39,867.97,2880.64,99.62,811.06,1801.32,121.519876,25.05014
66,EI067,市民大道~承德路,"['市民大道一段', '承德路一段', '鄭州路', '承德路一段']",市民大道一段 承德路一段,130.85,810.01,4007.14,125.83,717.75,2011.42,121.5165608,25.0489214
67,EI068,中山北路~民族西路,"['民族東路', '中山北路三段', '民族西路', '中山北路三段']",民族東路 中山北路三段,117.3,2493.91,6329.79,138.72,2212.26,2895.02,121.522872,25.0684716
68,EI069,中山北路~長安東西路,"['長安東路', '中山北路一段', '長安西路', '中山北路一段']",長安東路 中山北路一段,104.7,1687.74,3843.56,106.8,1463.36,2850.84,121.5225257,25.0495627
69,EI070,中山北路~市民大道,"['市民大道二段', '中山北路- 段', '市民大道一段', '中山北路- 段']",市民大道二段 中山北路- 段,169.78,1572.47,5835.75,153.41,1467.09,3457.5,121.5283135,25.0467955
70,EI071,中山南路~愛國東西路~羅斯福路,"['愛國東路', '羅斯福路一段', '愛國西路', '中山南路']",愛國東路 羅斯福路一段,100.22,2906.2,4852.58,66.59,1972.19,3227.22,121.5169125,25.0347056
71,EI072,民族東路~松江路,"['民族東路', '建國北路三段', '松江路', '民族東路']",民族東路 建國北路三段,242.09,3929.92,2952.99,197.38,2972.13,2014.49,121.5335913,25.0681682
72,EI073,松江路~長安東路,"['長安東路', '松江路', '長安東路', '松江路']",長安東路 松江路,101.25,1532.7,3266.05,93.53,1352.37,2602.1,121.5345809,25.048304
73,EI074,松江路~市民大道~新生北路,"['市民大道三段', '新生北路一段', '市民大道三段', '松江路']",市民大道三段 新生北路一段,105,2736.47,6289.53,73.48,1978.81,3754.71,121.5327998,25.0453333
74,EI075,新生南路~八德路,"['八德路二段', '新生南路一段', '八德路一段', '新生北路一段']",八德路二段 新生南路一段,98.43,1326.95,2656.62,83.63,1441.57,2367.8,121.5328509,25.0443654
75,EI076,新生南路~辛亥路,"['辛亥路二段', '新生南路三段', '辛亥路一段', '新生南路三段']",辛亥路二段 新生南路三段,113.46,1674.54,3030,97.15,1139.35,2278.5,121.5344023,25.0226195
76,EI077,羅斯福路~新生南路,"['羅斯福路四段', '羅斯福路三段316巷', '羅斯福路三段', '新生南路三段']",羅斯福路四段 羅斯福路三段316巷,227.76,1856.08,4543.16,116.76,1092.89,2598.35,121.5329459,25.016168
77,EI078,長安東路~建國北路,"['長安東路二段', '建國北路一段', '長安東路二段', '建國北路一段']",長安東路二段 建國北路一段,41.68,2805.88,2816.44,31.09,2405.55,2452.36,121.5365302,25.0484042
78,EI079,建國北路~市民大道?,"['市民大道三段', '建國南路一段', '市民大道三段', '建國南路一段']",市民大道三段 建國南路一段,24.55,2954.6,4546.85,24.16,2052.66,2369.18,121.536385,25.0446622
79,EI080,辛亥路~建國南路,"['-', '辛亥路二段', '辛亥路二段', '建國南路二段']",辛亥路二段 建國南路二段,93.92,6517.12,2780.96,84.93,5659.89,2748.18,121.5379332,25.0229154
80,EI081,八德路~敦化北路,"['八德路三段', '敦化南路一段', '八德路二段', '敦化北路']",八德路三段 敦化南路一段,169.91,3142.43,3621.66,165.26,2515.83,3019.91,121.5491564,25.0481886
81,EI082,市民大道~敦化南路,"['市民大道四段', '敦化南路', '市民大道四段', '敦化南路']",市民大道四段 敦化南路,111,1788.52,3735.48,102.34,1598.83,2687.83,121.5485773,25.0434072
82,EI083,基隆路~敦化南路,"['基隆路二段', '-', '基隆路三段', '敦化南路二段']",基隆路二段 基隆路三段,122.61,1658.4,4082.99,114.38,2435.68,1965.94,121.5485466,25.0209611
83,EI084,基隆路~八德路,"['八德路四段', '基隆路一段', '八德路四段', '寶清街']",八德路四段 基隆路一段,74.98,1435.66,2137.36,32.95,921.54,1672.51,121.5696185,25.0495167
84,EI085,市民大道~基隆路,"['市民大道六段', '基隆路一段', '市民大道五段', '基隆路一段']",市民大道六段 基隆路一段,42.81,1529.09,2899.1,25.56,1100.26,2346.18,121.5693314,25.0490653
85,EI086,基隆路~光復南路,"['基隆路二段', '基隆路二段79巷4弄', '基隆路二段', '光復南路']",基隆路二段 基隆路二段79巷4弄,91.64,2590.22,3896.14,68.98,1086.23,2091.79,121.5579924,25.0302649
86,EI087,辛亥路~基隆路,"['辛亥路三段', '基隆路三段', '辛亥路三段', '基隆路三段']",辛亥路三段 基隆路三段,155.6,3417.12,7136.28,150.5,3156.56,5449.94,121.5463807,25.0190762
87,EI088,基隆路~汀州路,"['基隆路四段', '汀州路四段', '基隆路四段', '汀州路三段']",基隆路四段 汀州路四段,54.61,675.5,3467.89,16.06,255.76,1352.18,121.5364261,25.0108145
88,EI089(1),羅斯福路~辛亥路,"['羅斯福路三段', '辛亥路一段', '羅斯福路三段', '辛亥路一段']",羅斯福路三段 辛亥路一段,154.96,2211.24,3054.8,73.79,1064.12,1665.09,121.5290514,25.0198052
89,EI089(2),羅斯福路~辛亥路,"['羅斯福路三段', '辛亥路一段', '羅斯福路三段', '辛亥路一段']",羅斯福路三段 辛亥路一段,134.73,2089,2658.27,64.74,1653.44,2501.82,121.5290514,25.0198052
90,EI090,文德路~成功路,"['成功路', '成功路', '文德路', '-']",成功路 文德路,140.64,2513.7,1678.66,111.33,1416.06,1655.61,121.5892963,25.078598
91,EI091,中正路~環河北路,"['中正路', '環河北路', '-', '環河北路']",中正路 環河北路,142.71,6005.67,1069.62,107.16,4655.04,595.8,121.5061524,25.0855244
92,EI092,民族西路~環河北路,"['民族西路', '環河北路', None, '環河北路']",民族西路 環河北路,53.08,4000.22,1254.7,44.61,3329.07,1087.32,121.5097782,25.0685215
93,EI093,民族東路~新生北路,"['民族東路', '新生北路', '民族東路', '新生北路']",民族東路 新生北路,98.27,1991.62,3341.11,116.51,1558.65,932.84,121.5326822,25.0685674
94,EI094,民族東路~復興北路,"['民族東路', '復興北路', '民族東路', '復興北路']",民族東路 復興北路,34.42,1829.82,2770.76,30.4,1852.72,2395.88,121.5443871,25.0663033
95,EI095,新生北路-長安東路,"['長安東路二段', '新生北路一段', '長安東路一段', '新生北路一段']",長安東路二段 新生北路一段,20.56,2303.38,2244.06,15.94,1934.75,1707.31,121.5294825,25.0481736
96,EI096,八德路~塔悠路,"['八德路四段', '松信路', '八德路四段', '塔悠街']",八德路四段 松信路,163.03,1248.27,1639.7,58.46,780.93,1198.61,121.5727809,25.0497009
97,EI097,八德路~南港路,"['南港路三段', '東新街', '八德路四段', '南港路三段']",南港路三段 東新街,146.64,1286.27,2579.09,109.46,1265.65,2267.89,121.5827282,25.0517212
98,EI098,內湖路~文德路,"['文德路', '文德路22巷', '內湖路一段', '內湖路二段']",文德路 文德路22巷,86.46,1161.17,1434.37,50.32,682.18,1220.5,121.5795382,25.078457
99,EI099,市民大道-光復南路,"['市民大道五段', '菸廠路', '光復南路', '市民大道四段']",市民大道五段 菸廠路,77.3,2617.24,3464.46,41.3,2637.19,2457.51,121.5578337,25.0449791
100,EI100,辛亥路~木柵路,"['木柵路一段', '辛亥路七段', '木柵路一段', '辛亥路六段']",木柵路一段 辛亥路七段,66.96,1463.48,2730.56,44.97,1041.87,2063.16,121.5523723,24.9877954
101,EI101,興隆路~木柵路,"['木柵路', '興隆路', '木柵路', '興隆路']",木柵路 興隆路,124.11,1621.39,1835.5,68.16,1138.01,1277.83,121.560974,24.984462
102,EI102,秀明路~木柵路,"['秀明路', '木柵路三段', '木柵路二段', '木柵路二段161巷']",秀明路 木柵路三段,79.46,697.87,973.67,72.18,532.98,674.84,121.5631576,24.9890436
103,EI103,木柵路-秀明路~萬壽橋,"['萬壽橋', '木柵路', '秀明路', '木柵路']",萬壽橋 木柵路,90.23,2009.4,1825.37,97.98,1802.39,1400.63,121.571037,24.9912285
104,EI104,市民大道~環河北路,"['鄭州路', '環河北路一段', '堤外道路', '環河北路一段']",鄭州路 環河北路一段,21.8,2546.99,4024.21,8.72,804.64,1248.64,121.5067042,25.0506546
105,EI105,中華路-汀州路,"['汀州路', '中華路', '汀州路', '中華路']",汀州路 中華路,77.73,472.04,1112.23,71.16,439.3,797.54,121.5296362,25.0172364
106,EI106,中華路-水源路,"['水源路', '水源路', '中華路', '泉州街']",水源路 中華路,9.15,1869.32,556.53,16.18,940.62,169.2,121.5234329,25.0194901
107,EI107,中華路~艋舺大道,"['中華路', '中華路', '艋舺大道', None]",中華路 艋舺大道,147.8,1938.92,3687.28,48.92,987.68,1245.4,121.5027584,25.0332061
108,EI108,汀州路~辛亥路,"['汀州路三段', '-', '汀州路三段', '辛亥路一段']",汀州路三段 辛亥路一段,30.95,916.92,1249.13,18.32,682.73,1130.95,121.527509,25.0184901
109,EI109,辛亥路-復興南路,"['辛亥路二段', '台灣大學側門', '辛亥路三段', '復興南路']",辛亥路二段 台灣大學側門,121.53,5609.25,3101.22,42.73,2635.21,1748.06,121.5415777,25.0208287
110,EI110,辛亥路~興隆路,"['興隆路三段', '辛亥路五段', '興隆路二段', '辛亥路四段']",興隆路三段 辛亥路五段,86.2,1846.8,2751,58.3,1122.39,1877.31,121.5546151,25.0008128
111,EI111,濱江街~大直橋,"['濱江街', '復北地下道', '濱江街', '大直橋']",濱江街 復北地下道,37.37,2932.93,3401.7,52.96,2706.28,2954.76,121.5442513,25.0721727
112,EI112,復興南路 ~市民大道,"['市民大道', '復興南路', '市民大道', '復興南路']",市民大道 復興南路,36.23,2185.32,5129.45,32.7,1941.9,2977.4,121.5433797,25.044961
113,EI113,市民大道~金山南路,"['市民大道三段', '金山北路', '市民大道二段', '金山北路']",市民大道三段 金山北路,25.9,2437.36,5060.74,0,1524.22,2443.78,121.5308666,25.0459983
114,EI114,忠孝東路~松仁路,"['忠孝東路五段', '松仁路', '忠孝東路五段', '永吉路30巷']",忠孝東路五段 松仁路,169.89,2178.31,3079.8,104.67,1554.46,2187.87,121.5685509,25.0410116
115,EI115,師大路~水源路,"['師大路', '水源路', '-', '水源路']",師大路 水源路,13.64,4241.49,375.87,19.12,1759.04,133.84,121.5225836,25.0204238
116,EI116,羅斯福路~林森南路,"['羅斯福路一段', '南海路', '羅斯福路一段', '林森南路']",羅斯福路一段 南海路,72.99,1964.11,3630.9,38.96,1238.28,3161.76,121.518093,25.0328869
117,EI117,師大路~汀州路,"['師大路', '汀州路三段', '師大路', '汀州路二段']",師大路 汀州路三段,25.41,5564.51,891.08,54.67,4407.11,1005.22,121.5254344,25.0210144
118,EI118,中華路~成都路,"['衡陽路/寶慶路', '中華路一段', '成都路', '中華路一段']",衡陽路/寶慶路 中華路一段,270.72,2557.65,4179.63,254.5,2318.5,3191,121.5091182,25.0415609
119,EI119,木柵路4段~萬芳交流道,"['木柵路五段', '-', '木柵路四段', '萬芳交流道']",木柵路五段 木柵路四段,202.3,3631.1,1033.6,125.45,2965.95,418.6,121.5768096,25.0002151
120,EI120,大度路~立德路,"['大度路', '無名巷', '大度路', '立德路']",大度路 無名巷,100.96,4273.16,4029.88,52.74,2150.77,1700.49,121.5392073,25.025007
